"category","headline","authors","link","short_description","date"
"TRAVEL","Inheriting Mardi Gras (PHOTOS)","Sarah Hull, Contributor\nWriter","https://www.huffingtonpost.com/entry/inheriting-mardi-gras-pho_us_5b9b55f2e4b03a1dcc76b9d3","Everything -- from the cut of the masks to the thousands of pounds of plum-colored beads tossed from Iris' 33 gargantuan floats -- must pass muster.","2012-02-16"
"STYLE & BEAUTY","Monica Vitti, Italian Actress, At Cannes Film Festival In 1974","Sarah Leon","https://www.huffingtonpost.com/entry/monica-vitti-style_us_5b9b55f7e4b03a1dcc76ba90","Take a look out our previous A Look Back photos in the slideshow below. CELEBRITY RELATED LINKS YOU MAY LOVE: Which Star","2012-02-16"
"STYLE & BEAUTY","After the Hype: The Return of Laquan Smith to NYFW","Zandile Blay, Contributor\nStyle & Culture Columnist","https://www.huffingtonpost.com/entry/laquan-smith-nyfw_us_5b9b55f7e4b03a1dcc76ba9d","A casual sweep of the nearly two hundred people in the audience revealed a house divided. Many were there to congratulate Laquan Smith, but some were there to critique.","2012-02-16"
"STYLE & BEAUTY","Agyness Deyn's Style Evolution (PHOTOS)","Jada Wong","https://www.huffingtonpost.com/entry/agyness-deyn-style_us_5b9b5619e4b03a1dcc76bac4","Agyness Deyn is what we like to call a triple threat in the fashion business. The androgynous beauty is a model, actress","2012-02-16"
"WELLNESS","Investment Banking May Be Bad For You, Study Finds -- And 7 Other Jobs Linked With Health Risks","Amanda L. Chan","https://www.huffingtonpost.com/entry/job-health-problems-work-occupation-stress-depression_us_5b9b561be4b03a1dcc76bb09","WebMD recommends making sure to have some free time in your weekly schedule, whether it's spent with friends or your significant","2012-02-16"
"WEDDINGS","Engagement Rings For Men: 17 Percent Of Men Would Wear An Engagement Ring, Survey Says","","https://www.huffingtonpost.com/entry/engagement-rings-for-men_us_5b9b561de4b03a1dcc76bb29","Although women have traditionally been the ones to wear engagement rings, a recent survey by TheKnot.com and Men's Health","2012-02-16"
"STYLE & BEAUTY","Team Zoe's Beauty Forecast: Silver Eyeshadow for Spring (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/silver-makeup_us_5b9b55f7e4b03a1dcc76ba6a","Spring beauty trends are known for being light, ethereal and aptly refreshing after a season of deep, wintery hues. As the","2012-02-16"
"FOOD & DRINK","20 Savory Recipes For Oranges","Kitchen Daily, Kitchen Daily","https://www.huffingtonpost.com/entry/orange-recipes_us_5b9b5709e4b03a1dcc76c1e4","A sweet, juicy orange is amazing for eating out of hand or turning into sweets and desserts, but you shouldn't stop there","2012-02-16"
"PARENTING","Why ALL Parents Are Better Than You","Josette Crosby Plank, Contributor\nBlogger, josetteplank.com","https://www.huffingtonpost.com/entry/french-parents-better_us_5b9b56e6e4b03a1dcc76c148","All other parents seem like they have it under control. Know what they are doing. Are even -- dare you say it -- better at this parenting thing than you are. I'm going to save you some wondering: They are.","2012-02-16"
"STYLE & BEAUTY","Cindy Crawford Wants To Halt Daughter Kaia Gerber's Modeling Career (PHOTOS)","Jessica Misener","https://www.huffingtonpost.com/entry/cindy-crawford-daughter-model_us_5b9b56ece4b03a1dcc76c162","I didn’t want to be a stage mom and make her nervous. She knew I was there looking out for her. She’s done little modeling","2012-02-16"
"STYLE & BEAUTY","Taylor Swift In A Heart Print Dress: Look Of The Day (PHOTOS)","Brooke Bobb","https://www.huffingtonpost.com/entry/taylor-swift-style_us_5b9b56ece4b03a1dcc76c16b","For more look of the day photos, click through the slideshow below. Fame WHO: Singer, Taylor Swift WHAT: The 2012 Grammy","2012-02-16"
"STYLE & BEAUTY","NIcki Minaj Looks Normal In Forever 21, Nanette Lepore : Love It Or Leave It? (PHOTOS, POLL)","Dana Oliver","https://www.huffingtonpost.com/entry/nicki-minaj-style_us_5b9b5708e4b03a1dcc76c1c1","Nicki joined Ricky Martin on ""Good Morning America"" Wednesday morning to talk about their HIV/AIDS awareness campaign with","2012-02-16"
"STYLE & BEAUTY","New York Fashion Week Fall 2012: Glamour Asks, 'What Are You Wearing?' (VIDEO)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/new-york-fashion-week-fall-2012-street-style_us_5b9b56e5e4b03a1dcc76c111","Related Links: The Hottest Male Models from New York Fashion Week 24 Flirty Date-Night Outfit Ideas 19 Cute Celebrity Haircuts","2012-02-16"
"STYLE & BEAUTY","A Straight Guy's Reaction To Super Skinny Models","Jada Wong","https://www.huffingtonpost.com/entry/skinny-models_us_5b9b5706e4b03a1dcc76c197","FASHION RELATED LINKS YOU MAY LOVE: Why Everyone Is Obsessed With Rachel Zoe's Collection - The Cut Would You Wear Alexander","2012-02-16"
"STYLE & BEAUTY","New York Fashion Week 2012: Anna Sui Fall 2012 (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/anna-sui-fall-2012_us_5b9b5702e4b03a1dcc76c188","Who Was There: Karen Elson, Sarah Sophie Flicker, Coco Rocha, Oh Land, Kate Lanphear and Richard Butler The Skinny: Anna","2012-02-16"
"TRAVEL","TSA Finds Marijuana Smuggled In Peanut Butter Jar","","https://www.huffingtonpost.com/entry/tsa-finds-marijuana-smuggled-in-peanut-butter-jar_us_5b9b56e7e4b03a1dcc76c150","According to witnesses, the man told agents the drugs were hidden because he didn't have a medical marijuana card. He was","2012-02-16"
"WELLNESS","5 Ways Yoga Promotes Heart Health","Elaine Gavalas, Contributor\nAuthor; Natural Health Expert","https://www.huffingtonpost.com/entry/yoga-heart-health_us_5b9b548fe4b03a1dcc76af22","In honor of American Heart Month, here are five ways that yoga promotes a healthier heart.","2012-02-16"
"TRAVEL","Girls' Night Out: Six Women Chefs, Three Dinners In London","Edward Schneider, Contributor\nTravel, cooking and food writer","https://www.huffingtonpost.com/entry/girls-night-out-six-women_us_5b9b50a1e4b03a1dcc7691fd","If you are interested in food and are going to be in London between March 11 and 13, you may want to spend an evening (and £200 -- a little over $300 -- including all wine) at Girls' Night Out.","2012-02-15"
"PARENTING","ADHD: The Medication Helps Daddy, Too","Kergan Edwards-Stout, Contributor\nAuthor, SONGS FOR THE NEW DEPRESSION, GIFTS NOT YET GIVEN","https://www.huffingtonpost.com/entry/adhd-medications_us_5b9b5291e4b03a1dcc769e43","We finally decided to try the pharmaceuticals available, only to be met with warnings from countless well-meaning people, none of whom actually had children with ADHD. I began to feel as if, in some small way, they were judging our parenting skills and finding fault.","2012-02-15"
"DIVORCE","Songs to Celebrate Divorce In Your Twenties","Joelle Caputa, Contributor\nContributor","https://www.huffingtonpost.com/entry/songs-to-celebrate-divorc_us_5b9b5382e4b03a1dcc76a5d0","Katy Perry should have been awarded Best Revenge Song after her Grammy performance, during which she spit venom at ex-husband Russell Brand by modifying the lyrics to her new single, ""Part of Me,"" to reflect their marriage","2012-02-15"
"PARENTING","The BEST Macaroni and Cheese Ever (It Ain't From a Box)","Catherine McCord, Contributor\nMom, chef, & founder of Weelicious.com","https://www.huffingtonpost.com/entry/macaroni-and-cheese-recipes_us_5b9b4ad4e4b03a1dcc766610","Is mac & cheese the healthiest dinner choice? Of course not. Would I recommend serving it more than once a week? Probably not. But when made well, perhaps with some veggies thrown in, mac & cheese is certainly a better option than say, a Happy Meal.","2012-02-15"
"WELLNESS","10 Celebs Who Refuse To 'Fix' Their Teeth","Catherine Pearson","https://www.huffingtonpost.com/entry/celebrity-teeth_us_5b9b4e4ae4b03a1dcc768155","It's sad to say, but we're in an era in Tinseltown when keeping your original teeth makes you, well, original. These days","2012-02-15"
"WELLNESS","Practicing the Power of Presence Makes the World a Better Place","Dennis Merritt Jones, Contributor\nAward Winning Author, Keynote Speaker, Mentor - Thought Leader","https://www.huffingtonpost.com/entry/mindfulness-meditation_us_5b9b4febe4b03a1dcc768d88","Mindfully living in the presence in the present moment can change our experience of life in a heartbeat. Living consciously, connected to the whole of life changes how we see ourselves and our world -- it makes the planet a better place because it makes us better people.","2012-02-15"
"STYLE & BEAUTY","A Scentsible Valentine's Day","Mary Orlin, Contributor\nThe WineFashionista","https://www.huffingtonpost.com/entry/a-scentsible-valentines-day_us_5b9b522ce4b03a1dcc769a77","Now there's a way to give the gift of fragrance that your recipient will like.","2012-02-15"
"TRAVEL","EVA Air's Hello Kitty Plane (PHOTOS)","","https://www.huffingtonpost.com/entry/eva-airs-hello-kitty-plan_us_5b9b53c2e4b03a1dcc76a9de","All photos courtesy of EVA Air. EVA Air has had Hello Kitty-themed jets since 2005, but they debuted three new jets this","2012-02-15"
"PARENTING","5 Things to Do When the Nanny Quits","Dr. Barbara Greenberg, Contributor\nClinical Psychologist","https://www.huffingtonpost.com/entry/nanny-quits_us_5b9b4e8ae4b03a1dcc768462","One day your kids love the nanny and your life is on autopilot, and the next day she tells you that she has been unhappy and she is leaving in two weeks. Anyone out there been in this situation?","2012-02-15"
"WEDDINGS","Should Schools Teach Teens How To Be Good Spouses?","Vicki Larson, Contributor\nCo-author of ""The New I Do,"" journalist, mom","https://www.huffingtonpost.com/entry/can-you-teach-kids-how-to_us_5b9b51bae4b03a1dcc769702","Clearly there's a movement to get people -- with the help of teachers and counselors -- to think before marrying or divorcing. It sounds like a good idea, but do marriage prep courses work?","2012-02-15"
"WELLNESS","Relationships, Menopause, and Health","Mark Hyman, MD, Contributor\nPracticing Physician","https://www.huffingtonpost.com/entry/relationships-menopause_us_5b9b51a6e4b03a1dcc769614","For many people, relationships are a major source of stress. As much as you love and need them, your parents, partner, children, boss, and even your friends can be the cause of a lot of aggravation. The resultant stress can have a tremendous impact on your health.","2012-02-15"
"TRAVEL","Quest For Harmony On The Pearl River Delta (PHOTOS, VIDEO)","Richard Bangs, Contributor\nAuthor, producer, travel & technology pioneer, co-founder Moun...","https://www.huffingtonpost.com/entry/quest-for-harmony-on-the-pearl-delta_us_5b9b5309e4b03a1dcc76a2e8","There is a place whose people have been on a never-ending quest to achieve a concord between life's jagged puzzle pieces. And some believe they have found its secrets.","2012-02-15"
"WELLNESS","Sore Muscle Remedies That Really Work","Meredith Melnick","https://www.huffingtonpost.com/entry/sore-muscle-remedies-that-work_us_5b9b530ee4b03a1dcc76a301","People do some crazy stuff to get rid of their post-workout muscle pain, which is known in the medical community as DOMS","2012-02-15"
"TRAVEL","Singapore, I Love You. Here's Why.","George Hobica, Contributor\nSyndicated travel writer and founder, Airfarewatchdog.com","https://www.huffingtonpost.com/entry/singapore-i-love-you-here_us_5b9b5437e4b03a1dcc76ac82","While the world was making fun, Singapore became an amalgam of an Asian Las Vegas with a bit of Manhattan, Sydney and Los Angeles thrown in. Watch out Macau, Hong Kong and Dubai.","2012-02-15"
"PARENTING","Is It Time To Retire The Word 'Wife'?","Lisa Belkin, Contributor\nSenior Columnist, The Huffington Post","https://www.huffingtonpost.com/entry/reject-word-wife_us_5b9b543ae4b03a1dcc76acef","What, nowadays, is the meaning of the word wife? It certainly is not what it used to be --  but it hasn't yet come to mean something new, either.","2012-02-15"
"WELLNESS","What To Eat Before And After A Workout","","https://www.huffingtonpost.com/entry/what-to-eat-workout_us_5b9b526ee4b03a1dcc769c97","Cynthia Sass is a registered dietitian with master's degrees in both nutrition science and public health. Frequently seen","2012-02-15"
"STYLE & BEAUTY","Marisa Berenson's Style Evolution (PHOTOS)","Sarah St. Lifer","https://www.huffingtonpost.com/entry/marisa-berenson-style-evolution_us_5b9b5413e4b03a1dcc76ab5d","Meanwhile, check out some of Berenson's iconic modeling shots. CELEBRITY RELATED LINKS YOU MAY LOVE: Which Star Is Wearing","2012-02-15"
"TRAVEL","7 Travel Videos To Help You Survive A Frozen Winter (VIDEO)","Tripfilms, Contributor\nWorld's Largest Travel Video Site","https://www.huffingtonpost.com/entry/7-travel-videos-to-help-y_us_5b9b5414e4b03a1dcc76ab7f","If you are in need of some rays to emanate through your computer screen, pump up the brightness and bathe in these seven sunny beach escape videos.","2012-02-15"
"STYLE & BEAUTY","Janice Dickinson's Style Evolution (PHOTOS)","Jada Wong","https://www.huffingtonpost.com/entry/janice-dickinson-style-evolution-photos_us_5b9b53f6e4b03a1dcc76ab34","We have to give it to Janice Dickinson, the self-proclaimed “first supermodel,” for her unapologetic persona and wild outfits","2012-02-15"
"WELLNESS","How to Be More Authentic","Gabrielle Bernstein, Contributor\nSpeaker, Author of Add More ~ing to Your Life, Spirit Junkie a...","https://www.huffingtonpost.com/entry/be-authentic_us_5b9b51d6e4b03a1dcc7697ba","To live an authentic life, we must release all that interferes with our truth. This video will help you recognize the ways you disconnect from your truth so that you can begin to shift the pattern.","2012-02-15"
"WELLNESS","5 Steps to Change How You Feel","Christy Matta, M.A., Contributor\nDBT consultant; Author of 'The Stress Response'","https://www.huffingtonpost.com/entry/changing-emotions_us_5b9b4fd2e4b03a1dcc768c85","The ability to solve life's problems and live the life you want to live sometimes means acting in opposition to your feelings. Doing so can release you from painful and long-standing emotions.","2012-02-15"
"HOME & LIVING","CustomMade Curator: Cityscape Coffee Table","Kaitlyn Davis","https://www.huffingtonpost.com/entry/custommade-curator-cityscape-table_us_5b9b4fd5e4b03a1dcc768cb7","While a little bizarre, this cityscape coffee table from CustomMade Artisan Scott Cawood Metal Artist is definitely unique","2012-02-15"
"WELLNESS","Does Depression Exist?","Eric Maisel, Ph.D., Contributor\nAuthor, Founder of Natural Psychology","https://www.huffingtonpost.com/entry/depression-definition_us_5b9b50fae4b03a1dcc7692e6","If you call your sadness, irritability, loneliness, disappointments, and overwhelm ""the mental disorder of depression,"" does calling all that pain make it ""the mental disorder of depression""?","2012-02-15"
"WELLNESS","True Strength: Learning to Feel What Is","Nancy Colier, Contributor\nPsychotherapist, interfaith minister, author and public speaker","https://www.huffingtonpost.com/entry/experiencing-sadness_us_5b9b5100e4b03a1dcc7692f8","To be strong is not to outrun sadness, but rather to learn to embrace it when it is here, to take good care of it so that it can heal.  This is a warrior's strength, a wise parent's strength.","2012-02-15"
"STYLE & BEAUTY","New York Fashion Week Fall 2012: Backstage At Marc By Marc Jacobs","Dana Oliver","https://www.huffingtonpost.com/entry/marc-by-marc-jacobs-fall-2012-beauty_us_5b9b521be4b03a1dcc76998a","Nails: ""The Marc by Marc Jacobs girl is youthful and modern,"" said Elisa Ferri, Zoya lead manicurist. ""When she gets dressed","2012-02-15"
"TRAVEL","10 Winter Escapes In South America (PHOTOS)","BootsnAll, Contributor\nA one-stop indie travel guide, founded in 1998","https://www.huffingtonpost.com/entry/10-places-in-south-americ_us_5b9b5314e4b03a1dcc76a371","In Patagonia, you can jet-ski across crystalline, azure lakes. In Colombia and Venezuela, you can trek through steamy jungles.","2012-02-15"
"PARENTING","Waging War","Ariane Zurcher, Contributor\nArtist and Writer Ariane Zurcher blogs about design, art and l...","https://www.huffingtonpost.com/entry/autism-child_us_5b9b523be4b03a1dcc769b56","Emma is my daughter, who happens to have autism.  The autism piece is complicated.  The beautiful little girl/daughter piece is not.","2012-02-15"
"DIVORCE","Many Tragedies In Whitney Houston's Death","Vicki Larson, Contributor\nCo-author of ""The New I Do,"" journalist, mom","https://www.huffingtonpost.com/entry/whitney_us_5b9b5341e4b03a1dcc76a4b9","Whitney Houston's death Saturday was filled with tragedy. She leaves behind a daughter, Bobbi Kristina Brown, a promising young singer who at age 18 is way too young to lose a mother.","2012-02-15"
"HOME & LIVING","Sprout Home Plant Of The Week: Copperleaf","Tara Heibel, Contributor\nContributor","https://www.huffingtonpost.com/entry/sprout-home-copperleaf_us_5b9b4f1ae4b03a1dcc7688fd","There are many occasions when a plant's leaf is more intriguing than its flower -- introducing the Copperleaf. The Acalypha","2012-02-15"
"FOOD & DRINK","How To Clean Dried Mushrooms","The Splendid Table, Contributor\nLynne Rossetto Kasper","https://www.huffingtonpost.com/entry/cleaning-mushrooms_us_5b9b4f4fe4b03a1dcc7689d3","How do you get the grit out of dried mushrooms? Even after soaking and straining, my super expensive porcini sauce tasted like it had been through a sand storm.","2012-02-15"
"PARENTING","From Generation X to Generation Me","Rhiana Maidenberg, Contributor\nWriter, wife, and mother of toddlers","https://www.huffingtonpost.com/entry/generation-x-parents_us_5b9b4963e4b03a1dcc765579","In contrast to our upbringing, we resolved to be a more constant presence in our children's lives. The problem is that these children are now dependent on their parents. As a mother of toddlers, how do I combat this trend and raise independent children, while still being an active participant in their childhood?","2012-02-15"
"WELLNESS","The Swiss Government's Remarkable Report on Homeopathic Medicine","Dana Ullman, MPH, CCH, Contributor\nEvidence Based Homeopath","https://www.huffingtonpost.com/entry/homeopathic-medicine_us_5b9b49fae4b03a1dcc765ba6","The Swiss government's report on homeopathic medicine represents the most comprehensive evaluation of homeopathic medicine ever written by a government and was just published in book form in English.","2012-02-15"
"FOOD & DRINK","Apricot-Almond Nibblies:  Better than Girls Scout Cookies","Rosie DeQuattro, Contributor\nFreelance writer","https://www.huffingtonpost.com/entry/almond-cookies_us_5b9b4a41e4b03a1dcc7660c8","It's cookie time. First it was the Salvation Army ringing the bell outside my local supermarket. Now it's a gaggle of girl","2012-02-15"
"PARENTING","Before the Children","Annmarie Kelly-Harbaugh, Contributor\nFounder of DadvMom.com and author of Here Be Dragons: A Parent...","https://www.huffingtonpost.com/entry/before-the-children_us_5b9b4461e4b03a1dcc7620b7","If we wait until our youngest enters college to pick up and start living again, I will be fifty-six years old. Do I really want to wait that long? I have a solution:  I'm starting now.","2012-02-15"
"STYLE & BEAUTY","New York Fashion Week Fall 2012: DJ Binki Shapiro Disses Lady Gaga","Sarah Leon","https://www.huffingtonpost.com/entry/new-york-fashion-week_us_5b9b4243e4b03a1dcc760615","What do you wear if you are DJing a show or party? I like to be comfortable and warm and since I walk everywhere in NY, I","2012-02-15"
"HOME & LIVING","Craft Of The Day: Yarn Letters","Diana N. Nguyen","https://www.huffingtonpost.com/entry/craft-of-the-day-yarn-letters_us_5b9b5521e4b03a1dcc76b353","How To Make It 1. (Optional) Paint the cardboard. 2. Glue or tape the end of a string of yarn to the back of the letter. 3","2012-02-15"
"WELLNESS","The Ways of Love","Mitchell J. Rabin, Contributor\nCreative Consultant, Holistic coach,, Stress Management Consul...","https://www.huffingtonpost.com/entry/love-types_us_5b9b5525e4b03a1dcc76b45a","Let's give love its proper place, and I daresay that we would have a different, much happier, more balanced and harmonious, just world if we were all more in touch with the archetypal energy behind these forms of love.","2012-02-15"
"WELLNESS","The View From 70: Reflections on Aging","Dr. Judith Rich, Contributor\nContributor","https://www.huffingtonpost.com/entry/birthdays-aging_us_5b9b5524e4b03a1dcc76b3fd","Getting older also means learning to appreciate this stage of life as a new adventure. There is still much to be discovered! This time of life offers up a whole new possibility for learning and engaging in creative expression.","2012-02-15"
"STYLE & BEAUTY","The Kennedy Compound With Rare Photos Inside the Rooms, Out on the Lawn and Their Life There","Carl Sferrazza Anthony, Contributor\nFirst Ladies and Presidential Families Historian, Author & Scr...","https://www.huffingtonpost.com/entry/the-kennedy-compound-with_us_5b9b5524e4b03a1dcc76b418","From the presidential yacht, young John Kennedy, Jr. looks down on his aunt Eunice Kennedy Shriver and her son, swimming","2012-02-15"
"TRAVEL","Swapping A Backpack For A Suitcase Down Under","Mitch Moxley, Contributor\nAuthor of Apologies to My Censor: The High and Low Adventures ...","https://www.huffingtonpost.com/entry/down-under-swapping-a-bac_us_5b9b5527e4b03a1dcc76b500","I'm a little embarrassed to have gone to Australia looking for exotic adventure. It's a beautiful place, but culturally exotic it is not.","2012-02-15"
"WELLNESS","Johnson & Johnson Sold Hip Implants Abroad After FDA Rejected Sale In The U.S. For Safety Concerns","","https://www.huffingtonpost.comhttp://www.nytimes.com/2012/02/15/business/hip-implant-the-fda-rejected-was-marketed-abroad.html?hpw","The health care products giant Johnson & Johnson continued to market an artificial hip in Europe and elsewhere overseas after","2012-02-15"
"STYLE & BEAUTY","'Sports Illustrated' Swimsuit Event: The Models Talk Bikinis! (PHOTOS)","Jessica Misener","https://www.huffingtonpost.com/entry/sports-illustrated-swimsuit-party-2012_us_5b9b5531e4b03a1dcc76b541","Her favorite swimsuits? ""Anything red. Everyone was wearing tons of red [in the issue]."" Check out photos from the event","2012-02-15"
"PARENTING","Bringing Up Bébé, Idonomics and the American Dream","Hoyt Hilsman, Contributor\nAuthor, journalist, former Congressional candidate","https://www.huffingtonpost.com/entry/bringing-up-bebe_us_5b9b551ce4b03a1dcc76b31a","The answer may not be to embrace French or Chinese parenting techniques, but as a society we need to examine our helter skelter approach to the American dream.","2012-02-15"
"HOME & LIVING","It Makes All the Difference in the World How Art Is Viewed","Christina Craemer, Contributor\nInterior designer","https://www.huffingtonpost.com/entry/it-makes-all-the-difference_us_5b9b551ce4b03a1dcc76b331","As I was leaving I realized what a wonderful evening this had been and how it reminded me of just how important the holistic relationship of art to space, time and surroundings really is.","2012-02-15"
"TRAVEL","Racing Horses Toward Modernity In Qatar (PHOTOS)","Diana Untermeyer, Contributor\nAuthor","https://www.huffingtonpost.com/entry/qatarhorses_us_5b9b54c5e4b03a1dcc76b0a4","Within a week of arriving in Doha in the steamy August heat, I was rubbing noses with horses at the Emir's famous Al Shaqab Stud.","2012-02-15"
